iteracja,randao_total_gas,vrf_request_gas,vrf_callback_gas
1,175157,103593,72683
2,175157,103593,72692
3,175157,103593,72692
4,175157,103593,72692
5,175157,103593,72692
6,175157,103593,72692
7,175157,103593,72692
8,175157,103593,72692
9,175157,103593,72692
10,175157,103593,72692
11,175157,103593,72692
12,175157,103593,72692
13,175157,103593,72692
14,175145,103593,72692
15,175157,103593,72692
16,175157,103593,72692
17,175157,103593,72692
18,175157,103593,72692
19,175157,103593,72692
20,175157,103593,72692
